rec-time,UTC,Acceleration,Lateral acceleration,Gas pedal position,Brake pedal force,Gear,Steering wheel position,Velocity,Lateral velocity,Vertical velocity,X axis position,Y axis position,Z axis position
00:00.0,1.57287E+12,0,0,0.983,32.208,3,-0.006,0,0,0,0,0,-0.527
00:00.0,1.57287E+12,0,0,0.983,32.208,3,-0.006,0,0,0,0,0,-0.527
00:00.1,1.57287E+12,0,0,0.983,32.208,3,-0.006,0,0,0,0,0,-0.527
00:00.1,1.57287E+12,0,0,0.983,32.208,3,-0.006,0,0,0,0,0,-0.527
00:00.1,1.57287E+12,0,0,0.983,32.208,3,-0.006,0,0,0,0,0,-0.527
00:00.1,1.57287E+12,0,0,0.983,32.208,3,-0.006,0,0,0,0,0,-0.527
00:00.2,1.57287E+12,0.12,0,0.983,1.824,3,-0.006,0.005,0,-0.003,0,0,-0.527
00:00.2,1.57287E+12,0.184,0,0.983,1.824,3,-0.006,0.008,0,-0.005,0,0,-0.527
00:00.2,1.57287E+12,0.222,0,0.983,1.824,3,-0.006,0.012,0,-0.008,0,0,-0.527
00:00.2,1.57287E+12,0.259,0,0.983,1.824,3,-0.006,0.017,0,-0.011,0,0,-0.527
00:00.2,1.57287E+12,0.283,0,0.983,1.824,3,-0.006,0.022,0,-0.013,0,0,-0.527
00:00.2,1.57287E+12,0.3,0,0.983,1.824,3,-0.006,0.027,0,-0.015,0.001,0,-0.528
00:00.3,1.57287E+12,0.323,0,0.983,0.664,3,-0.006,0.033,0,-0.016,0.001,0,-0.528
00:00.3,1.57287E+12,0.349,0,0.983,0.664,3,-0.006,0.039,0,-0.017,0.002,0,-0.528
00:00.3,1.57287E+12,0.368,0,0.983,0.664,3,-0.006,0.045,0,-0.018,0.003,0,-0.528
00:00.3,1.57287E+12,0.383,0,0.983,0.664,3,-0.006,0.052,0,-0.018,0.003,0,-0.529
00:00.3,1.57287E+12,0.397,0,0.983,0.664,3,-0.006,0.059,0,-0.018,0.004,0,-0.529
00:00.3,1.57287E+12,0.41,0,0.983,0.664,3,-0.006,0.066,0,-0.017,0.005,0,-0.529
00:00.4,1.57287E+12,0.422,0,0.983,0.664,3,-0.006,0.073,0,-0.017,0.007,0,-0.529
00:00.4,1.57287E+12,0.433,0,0.983,0.664,3,-0.006,0.08,0,-0.016,0.008,0,-0.53
00:00.4,1.57287E+12,0.444,0,0.983,0.664,3,-0.006,0.088,0,-0.015,0.009,0,-0.53
00:00.4,1.57287E+12,0.454,0,0.983,0.664,3,-0.006,0.096,0,-0.014,0.011,0,-0.53
00:00.4,1.57287E+12,0.464,0,0.983,0.664,3,-0.006,0.103,0,-0.013,0.012,0,-0.53
00:00.4,1.57287E+12,0.473,0,0.983,0.664,3,-0.006,0.111,0,-0.011,0.014,0,-0.531
00:00.4,1.57287E+12,0.481,0,0.983,0.664,3,-0.006,0.12,0,-0.01,0.016,0,-0.531
00:00.5,1.57287E+12,0.489,0,0.983,0.664,3,-0.006,0.128,0,-0.009,0.018,0,-0.531
00:00.5,1.57287E+12,0.497,0,0.983,0.664,3,-0.006,0.136,0,-0.008,0.02,0,-0.531
00:00.5,1.57287E+12,0.504,0,0.983,0.664,3,-0.006,0.145,0,-0.007,0.023,0,-0.531
00:00.5,1.57287E+12,0.51,0,0.983,0.664,3,-0.006,0.153,0,-0.006,0.025,0,-0.531
00:00.5,1.57287E+12,0.516,0,0.983,0.664,3,-0.006,0.162,0,-0.005,0.028,0,-0.531
00:00.5,1.57287E+12,0.522,0,0.983,0.664,3,-0.006,0.171,0,-0.004,0.031,0,-0.532
00:00.6,1.57287E+12,0.527,0,0.983,0.664,3,-0.006,0.18,0,-0.003,0.034,0,-0.532
00:00.6,1.57287E+12,0.531,0,0.983,0.664,3,-0.006,0.188,0,-0.002,0.037,0,-0.532
00:00.6,1.57287E+12,0.535,0,0.983,0.664,3,-0.006,0.197,0,-0.002,0.04,0,-0.532
00:00.6,1.57287E+12,0.539,0,0.983,0.664,3,-0.006,0.206,0,-0.001,0.043,0,-0.532
00:00.6,1.57287E+12,0.543,0,0.983,0.664,3,-0.006,0.216,0,-0.001,0.047,0,-0.532
00:00.6,1.57287E+12,0.547,0,2.448,0.664,3,-0.006,0.225,0,0,0.05,0,-0.532
00:00.7,1.57287E+12,0.558,0,2.448,0.664,3,-0.006,0.234,0,0,0.054,0,-0.532
00:00.7,1.57287E+12,0.582,0,2.448,0.664,3,-0.006,0.244,0,0.001,0.058,0,-0.532
00:00.7,1.57287E+12,0.616,0,2.448,0.664,3,-0.006,0.255,0,0.001,0.062,0,-0.532
00:00.7,1.57287E+12,0.656,0,2.448,0.664,3,-0.006,0.267,0,0.001,0.067,0,-0.532
00:00.7,1.57287E+12,0.697,0,2.448,0.664,3,-0.006,0.279,0,0.002,0.071,0,-0.532
00:00.7,1.57287E+12,0.742,0,8.308,0.664,3,-0.006,0.292,0,0.002,0.076,0,-0.532
00:00.8,1.57287E+12,0.826,0,8.308,0.664,3,-0.006,0.307,0,0.003,0.081,0,-0.532
00:00.8,1.57287E+12,0.973,0,8.308,0.664,3,-0.006,0.326,0,0.004,0.086,0,-0.532
00:00.8,1.57287E+12,1.171,0,8.308,0.664,3,-0.006,0.348,0,0.005,0.092,0,-0.532
00:00.8,1.57287E+12,1.394,0,8.308,0.664,3,-0.006,0.375,0,0.006,0.098,0,-0.532
00:00.8,1.57287E+12,1.611,0,8.308,0.664,3,-0.006,0.404,0,0.007,0.104,0,-0.531
00:00.8,1.57287E+12,1.812,-0.001,28.157,0.664,3,-0.006,0.438,0,0.009,0.111,0,-0.531
00:00.9,1.57287E+12,2.07,-0.001,28.157,0.664,3,-0.006,0.476,0,0.011,0.119,0,-0.531
00:00.9,1.57287E+12,2.442,-0.001,28.157,0.664,3,-0.006,0.523,0,0.013,0.127,0,-0.531
00:00.9,1.57287E+12,2.911,-0.001,28.157,0.664,3,-0.006,0.578,0,0.016,0.136,0,-0.531
00:00.9,1.57287E+12,3.426,-0.001,28.157,0.664,3,-0.006,0.643,0,0.019,0.147,0,-0.531
