rec-time,UTC,Acceleration,Lateral acceleration,Gas pedal position,Brake pedal force,Gear,Steering wheel position,Velocity,Lateral velocity,Vertical velocity,X axis position,Y axis position,Z axis position
00:00:02.231,1572946467081,0.001,0.0,0.983,0.664,3.0,-0.063,-0.014,0.0,-0.017,-0.003,0.0,-0.53
00:00:02.232,1572946467082,0.02,0.0,0.983,0.664,3.0,-0.063,-0.013,0.0,-0.016,-0.003,0.0,-0.53
00:00:02.233,1572946467083,0.049,0.0,0.983,0.664,3.0,-0.063,-0.012,0.0,-0.015,-0.003,0.0,-0.53
00:00:02.284,1572946467134,0.077,0.0,0.983,0.664,3.0,-0.063,-0.01,0.0,-0.014,-0.003,0.0,-0.531
00:00:02.285,1572946467135,0.101,0.0,0.983,0.664,3.0,-0.063,-0.008,0.0,-0.013,-0.003,0.0,-0.531
00:00:02.286,1572946467136,0.118,0.0,0.983,0.664,3.0,-0.063,-0.006,0.0,-0.012,-0.003,0.0,-0.531
00:00:02.330,1572946467180,0.131,0.0,1.13,0.664,3.0,-0.063,-0.004,0.0,-0.011,-0.003,0.0,-0.531
00:00:02.331,1572946467181,0.139,0.0,1.13,0.664,3.0,-0.063,-0.001,0.0,-0.009000000000000001,-0.004,0.0,-0.531
00:00:02.332,1572946467182,0.147,0.0,1.13,0.664,3.0,-0.063,0.001,0.0,-0.008,-0.003,0.0,-0.531
00:00:02.382,1572946467232,0.156,0.0,1.13,0.664,3.0,-0.064,0.004,0.0,-0.006999999999999999,-0.003,0.0,-0.532
00:00:02.383,1572946467233,0.16699999999999998,-0.001,1.13,0.664,3.0,-0.064,0.006999999999999999,0.0,-0.006,-0.003,0.0,-0.532
00:00:02.384,1572946467234,0.179,-0.001,1.13,0.664,3.0,-0.064,0.01,0.0,-0.005,-0.003,0.0,-0.532
00:00:02.431,1572946467281,0.192,-0.001,1.13,0.664,3.0,-0.064,0.014,0.0,-0.004,-0.003,0.0,-0.532
00:00:02.432,1572946467282,0.205,-0.001,1.13,0.664,3.0,-0.064,0.017,0.0,-0.003,-0.003,0.0,-0.532
