,rec_time,UTC,NEBAND_delta-sensor-1,NEBAND_delta-sensor-2,NEBAND_delta-sensor-3,NEBAND_delta-sensor-4,NEBAND_delta-sensor-5,NEBAND_delta-sensor-6,NEBAND_delta-sensor-7,NEBAND_delta-sensor-8,NEBAND_delta-sensor-9,NEBAND_delta-sensor-10,NEBAND_delta-sensor-11,NEBAND_delta-sensor-12,NEBAND_delta-sensor-13,NEBAND_delta-sensor-14,NEBAND_delta-sensor-15,NEBAND_delta-sensor-16,NEBAND_delta-sensor-17,NEBAND_delta-sensor-18,NEBAND_delta-sensor-19,NEBAND_delta-sensor-20,NEBAND_delta-sensor-21,NEBAND_delta-sensor-22,NEBAND_delta-sensor-23,NEBAND_delta-sensor-24,NEBAND_delta-sensor-25,NEBAND_delta-sensor-26,NEBAND_delta-sensor-27,NEBAND_delta-sensor-28,NEBAND_delta-sensor-29,NEBAND_delta-sensor-30,NEBAND_delta-sensor-31,NEBAND_delta-sensor-32,NEBAND_theta-sensor-1,NEBAND_theta-sensor-2,NEBAND_theta-sensor-3,NEBAND_theta-sensor-4,NEBAND_theta-sensor-5,NEBAND_theta-sensor-6,NEBAND_theta-sensor-7,NEBAND_theta-sensor-8,NEBAND_theta-sensor-9,NEBAND_theta-sensor-10,NEBAND_theta-sensor-11,NEBAND_theta-sensor-12,NEBAND_theta-sensor-13,NEBAND_theta-sensor-14,NEBAND_theta-sensor-15,NEBAND_theta-sensor-16,NEBAND_theta-sensor-17,NEBAND_theta-sensor-18,NEBAND_theta-sensor-19,NEBAND_theta-sensor-20,NEBAND_theta-sensor-21,NEBAND_theta-sensor-22,NEBAND_theta-sensor-23,NEBAND_theta-sensor-24,NEBAND_theta-sensor-25,NEBAND_theta-sensor-26,NEBAND_theta-sensor-27,NEBAND_theta-sensor-28,NEBAND_theta-sensor-29,NEBAND_theta-sensor-30,NEBAND_theta-sensor-31,NEBAND_theta-sensor-32,NEBAND_alpha-sensor-1,NEBAND_alpha-sensor-2,NEBAND_alpha-sensor-3,NEBAND_alpha-sensor-4,NEBAND_alpha-sensor-5,NEBAND_alpha-sensor-6,NEBAND_alpha-sensor-7,NEBAND_alpha-sensor-8,NEBAND_alpha-sensor-9,NEBAND_alpha-sensor-10,NEBAND_alpha-sensor-11,NEBAND_alpha-sensor-12,NEBAND_alpha-sensor-13,NEBAND_alpha-sensor-14,NEBAND_alpha-sensor-15,NEBAND_alpha-sensor-16,NEBAND_alpha-sensor-17,NEBAND_alpha-sensor-18,NEBAND_alpha-sensor-19,NEBAND_alpha-sensor-20,NEBAND_alpha-sensor-21,NEBAND_alpha-sensor-22,NEBAND_alpha-sensor-23,NEBAND_alpha-sensor-24,NEBAND_alpha-sensor-25,NEBAND_alpha-sensor-26,NEBAND_alpha-sensor-27,NEBAND_alpha-sensor-28,NEBAND_alpha-sensor-29,NEBAND_alpha-sensor-30,NEBAND_alpha-sensor-31,NEBAND_alpha-sensor-32,NEBAND_beta-sensor-1,NEBAND_beta-sensor-2,NEBAND_beta-sensor-3,NEBAND_beta-sensor-4,NEBAND_beta-sensor-5,NEBAND_beta-sensor-6,NEBAND_beta-sensor-7,NEBAND_beta-sensor-8,NEBAND_beta-sensor-9,NEBAND_beta-sensor-10,NEBAND_beta-sensor-11,NEBAND_beta-sensor-12,NEBAND_beta-sensor-13,NEBAND_beta-sensor-14,NEBAND_beta-sensor-15,NEBAND_beta-sensor-16,NEBAND_beta-sensor-17,NEBAND_beta-sensor-18,NEBAND_beta-sensor-19,NEBAND_beta-sensor-20,NEBAND_beta-sensor-21,NEBAND_beta-sensor-22,NEBAND_beta-sensor-23,NEBAND_beta-sensor-24,NEBAND_beta-sensor-25,NEBAND_beta-sensor-26,NEBAND_beta-sensor-27,NEBAND_beta-sensor-28,NEBAND_beta-sensor-29,NEBAND_beta-sensor-30,NEBAND_beta-sensor-31,NEBAND_beta-sensor-32,NEBAND_gamma-sensor-1,NEBAND_gamma-sensor-2,NEBAND_gamma-sensor-3,NEBAND_gamma-sensor-4,NEBAND_gamma-sensor-5,NEBAND_gamma-sensor-6,NEBAND_gamma-sensor-7,NEBAND_gamma-sensor-8,NEBAND_gamma-sensor-9,NEBAND_gamma-sensor-10,NEBAND_gamma-sensor-11,NEBAND_gamma-sensor-12,NEBAND_gamma-sensor-13,NEBAND_gamma-sensor-14,NEBAND_gamma-sensor-15,NEBAND_gamma-sensor-16,NEBAND_gamma-sensor-17,NEBAND_gamma-sensor-18,NEBAND_gamma-sensor-19,NEBAND_gamma-sensor-20,NEBAND_gamma-sensor-21,NEBAND_gamma-sensor-22,NEBAND_gamma-sensor-23,NEBAND_gamma-sensor-24,NEBAND_gamma-sensor-25,NEBAND_gamma-sensor-26,NEBAND_gamma-sensor-27,NEBAND_gamma-sensor-28,NEBAND_gamma-sensor-29,NEBAND_gamma-sensor-30,NEBAND_gamma-sensor-31,NEBAND_gamma-sensor-32,NE_CH1,NE_CH2,NE_CH3,NE_CH4,NE_CH5,NE_CH6,NE_CH7,NE_CH8,NE_CH9,NE_CH10,NE_CH11,NE_CH12,NE_CH13,NE_CH14,NE_CH15,NE_CH16,NE_CH17,NE_CH18,NE_CH19,NE_CH20,NE_CH21,NE_CH22,NE_CH23,NE_CH24,NE_CH25,NE_CH26,NE_CH27,NE_CH28,NE_CH29,NE_CH30,NE_CH31,NE_CH32
0,00:00:00.055,1572871542959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740454.0,-1142931.0,-400000047.0,-23899844.0,-1380825.0,2667761.0,-32050422.0,-8549738.0,-2318001.0,1907634.0,18510010.0,-25791886.0,18218567.0,-24863532.0,26139214.0,-12285377.0,18641807.0,1631880.0,-13924504.0,-400000047.0,-13141347.0,-23919537.0,-53762537.0,-13922073.0,-14847089.0,-78141650.0,-400000047.0,27766040.0,-15056468.0,22929051.0,-1900959.0,-17385580.0
1,00:00:00.056,1572871542960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3739548.0,-1141166.0,-400000047.0,-23896172.0,-1378774.0,2667808.0,-32058290.0,-8551980.0,-2320242.0,1907730.0,18509437.0,-25792220.0,18216469.0,-24864152.0,26142409.0,-12285186.0,18639423.0,1629495.0,-13925267.0,-400000047.0,-13141585.0,-23920586.0,-53762442.0,-13922168.0,-14845659.0,-78138646.0,-400000047.0,27767137.0,-15054895.0,22927906.0,-1901817.0,-17384102.0
2,00:00:00.057,1572871542961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738785.0,-1140403.0,-400000047.0,-23893931.0,-1376724.0,2665424.0,-32063249.0,-8553649.0,-2321481.0,1905584.0,18510153.0,-25793650.0,18214847.0,-24865248.0,26143506.0,-12283517.0,18639995.0,1627588.0,-13928987.0,-400000047.0,-13140060.0,-23919919.0,-53760391.0,-13923742.0,-14845468.0,-78135547.0,-400000047.0,27768567.0,-15053321.0,22927716.0,-1900434.0,-17383768.0
3,00:00:00.058,1572871542962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3741741.0,-1135301.0,-400000047.0,-23887207.0,-1370239.0,2665949.0,-32059959.0,-8548213.0,-2320814.0,1906204.0,18516685.0,-25789359.0,18214418.0,-24857476.0,26150897.0,-12277413.0,18645956.0,1631403.0,-13925267.0,-400000047.0,-13133908.0,-23916390.0,-53753573.0,-13922073.0,-14842845.0,-78127631.0,-400000047.0,27774575.0,-15046598.0,22930720.0,-1898718.0,-17378379.0
4,00:00:00.059,1572871542963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3739023.0,-1141262.0,-400000047.0,-23890355.0,-1372575.0,2661896.0,-32061723.0,-8548499.0,-2326345.0,1904869.0,18514110.0,-25790456.0,18216182.0,-24857524.0,26148322.0,-12279845.0,18648912.0,1631212.0,-13921787.0,-400000047.0,-13136436.0,-23919585.0,-53753239.0,-13922073.0,-14845468.0,-78128442.0,-400000047.0,27772334.0,-15048219.0,22930529.0,-1897907.0,-17380764.0
5,00:00:00.060,1572871542964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737593.0,-1146698.0,-400000047.0,-23893645.0,-1377058.0,2658367.0,-32060579.0,-8549166.0,-2334451.0,1902532.0,18507721.0,-25793030.0,18214609.0,-24858906.0,26143935.0,-12283612.0,18643762.0,1630258.0,-13923742.0,-400000047.0,-13137914.0,-23922350.0,-53754669.0,-13923694.0,-14848710.0,-78131351.0,-400000047.0,27769330.0,-15050079.0,22928622.0,-1900863.0,-17383958.0
6,00:00:00.061,1572871542965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734493.0,-1149845.0,-400000047.0,-23895981.0,-1379347.0,2653980.0,-32064250.0,-8552409.0,-2339887.0,1898575.0,18503811.0,-25795653.0,18209078.0,-24859240.0,26141789.0,-12286998.0,18634798.0,1624155.0,-13930608.0,-400000047.0,-13140536.0,-23926594.0,-53754526.0,-13928653.0,-14852763.0,-78132447.0,-400000047.0,27766374.0,-15052272.0,22922852.0,-1908684.0,-17386772.0
7,00:00:00.062,1572871542966,0.7759999999999999,2.519,0.0,1.633,1.4809999999999999,0.349,0.882,1.0270000000000001,0.136,0.303,3.9419999999999997,1.219,2.7960000000000003,7.296,1.892,1.516,6.242000000000001,0.359,0.287,0.0,2.0269999999999997,0.259,2.7260000000000004,1.885,0.6970000000000001,2.437,0.0,0.473,3.685,0.18899999999999997,1.3840000000000001,0.635,2.097,3.227,0.0,4.368,4.159,0.593,2.526,1.422,2.338,0.956,2.364,2.479,4.0169999999999995,4.287,3.6289999999999996,2.177,12.208,0.81,1.5959999999999999,0.0,2.41,1.1640000000000001,4.71,3.74,0.983,5.295,0.0,2.908,4.212,0.925,2.376,3.2289999999999996,2.205,2.838,0.0,3.181,3.32,1.1320000000000001,2.13,1.063,1.912,2.174,2.54,3.002,12.431,5.7410000000000005,3.161,2.803,8.277999999999999,1.733,3.427,0.0,1.608,1.235,5.362,3.2230000000000003,2.012,3.673,0.0,2.859,3.783,2.722,6.1739999999999995,2.734,3.826,42.76,0.0,16.703,13.53,2.7430000000000003,3.327,11.315999999999999,4.295,33.199,35.311,98.46700000000001,133.53,374.408,8.738999999999999,72.70100000000002,102.039,3.659,12.700999999999999,0.0,18.399,23.87,13.327,50.753,23.176,16.329,0.0,5.122000000000001,112.096,14.456,44.812,3.97,22.785,318.937,0.0,16.889,55.708,13.298,17.642,100.065,22.322,127.27,1194.59,677.51,499.338,8912.64,65.387,246.162,333.019,22.54300000000001,78.67699999999998,0.0,30.303,57.62300000000001,89.77,227.78400000000002,357.975,286.7340000000001,0.0,14.877,3695.78,122.507,177.555,18.729,3737783.0,-1148367.0,-400000047.0,-23894503.0,-1376629.0,2661848.0,-32059291.0,-8548785.0,-2330589.0,1905489.0,18505575.0,-25792315.0,18217470.0,-24857810.0,26143220.0,-12283755.0,18645288.0,1631117.0,-13921977.0,-400000047.0,-13136674.0,-23920300.0,-53753191.0,-13919450.0,-14845563.0,-78130874.0,-400000047.0,27768901.0,-15051080.0,22929337.0,-1898718.0,-17383672.0
8,00:00:00.063,1572871542967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3739738.0,-1150083.0,-400000047.0,-23895838.0,-1378774.0,2667093.0,-32057336.0,-8547831.0,-2325105.0,1911783.0,18502619.0,-25792029.0,18222954.0,-24862149.0,26142028.0,-12282229.0,18652727.0,1635742.0,-13916112.0,-400000047.0,-13135053.0,-23917248.0,-53756672.0,-13915349.0,-14840747.0,-78132352.0,-400000047.0,27767995.0,-15052034.0,22933628.0,-1892662.0,-17384245.0
9,00:00:00.064,1572871542968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736496.0,-1154470.0,-400000047.0,-23900702.0,-1382780.0,2667332.0,-32057241.0,-8550597.0,-2325010.0,1912641.0,18497373.0,-25797084.0,18223478.0,-24871781.0,26135924.0,-12284804.0,18655826.0,1636457.0,-13914539.0,-400000047.0,-13136483.0,-23919203.0,-53765398.0,-13915206.0,-14842464.0,-78138026.0,-400000047.0,27762702.0,-15060140.0,22933104.0,-1891994.0,-17389967.0
