,rec_time,UTC,NEBAND_delta-sensor-1,NEBAND_delta-sensor-2,NEBAND_delta-sensor-3,NEBAND_delta-sensor-4,NEBAND_delta-sensor-5,NEBAND_delta-sensor-6,NEBAND_delta-sensor-7,NEBAND_delta-sensor-8,NEBAND_delta-sensor-9,NEBAND_delta-sensor-10,NEBAND_delta-sensor-11,NEBAND_delta-sensor-12,NEBAND_delta-sensor-13,NEBAND_delta-sensor-14,NEBAND_delta-sensor-15,NEBAND_delta-sensor-16,NEBAND_delta-sensor-17,NEBAND_delta-sensor-18,NEBAND_delta-sensor-19,NEBAND_delta-sensor-20,NEBAND_delta-sensor-21,NEBAND_delta-sensor-22,NEBAND_delta-sensor-23,NEBAND_delta-sensor-24,NEBAND_delta-sensor-25,NEBAND_delta-sensor-26,NEBAND_delta-sensor-27,NEBAND_delta-sensor-28,NEBAND_delta-sensor-29,NEBAND_delta-sensor-30,NEBAND_delta-sensor-31,NEBAND_delta-sensor-32,NEBAND_theta-sensor-1,NEBAND_theta-sensor-2,NEBAND_theta-sensor-3,NEBAND_theta-sensor-4,NEBAND_theta-sensor-5,NEBAND_theta-sensor-6,NEBAND_theta-sensor-7,NEBAND_theta-sensor-8,NEBAND_theta-sensor-9,NEBAND_theta-sensor-10,NEBAND_theta-sensor-11,NEBAND_theta-sensor-12,NEBAND_theta-sensor-13,NEBAND_theta-sensor-14,NEBAND_theta-sensor-15,NEBAND_theta-sensor-16,NEBAND_theta-sensor-17,NEBAND_theta-sensor-18,NEBAND_theta-sensor-19,NEBAND_theta-sensor-20,NEBAND_theta-sensor-21,NEBAND_theta-sensor-22,NEBAND_theta-sensor-23,NEBAND_theta-sensor-24,NEBAND_theta-sensor-25,NEBAND_theta-sensor-26,NEBAND_theta-sensor-27,NEBAND_theta-sensor-28,NEBAND_theta-sensor-29,NEBAND_theta-sensor-30,NEBAND_theta-sensor-31,NEBAND_theta-sensor-32,NEBAND_alpha-sensor-1,NEBAND_alpha-sensor-2,NEBAND_alpha-sensor-3,NEBAND_alpha-sensor-4,NEBAND_alpha-sensor-5,NEBAND_alpha-sensor-6,NEBAND_alpha-sensor-7,NEBAND_alpha-sensor-8,NEBAND_alpha-sensor-9,NEBAND_alpha-sensor-10,NEBAND_alpha-sensor-11,NEBAND_alpha-sensor-12,NEBAND_alpha-sensor-13,NEBAND_alpha-sensor-14,NEBAND_alpha-sensor-15,NEBAND_alpha-sensor-16,NEBAND_alpha-sensor-17,NEBAND_alpha-sensor-18,NEBAND_alpha-sensor-19,NEBAND_alpha-sensor-20,NEBAND_alpha-sensor-21,NEBAND_alpha-sensor-22,NEBAND_alpha-sensor-23,NEBAND_alpha-sensor-24,NEBAND_alpha-sensor-25,NEBAND_alpha-sensor-26,NEBAND_alpha-sensor-27,NEBAND_alpha-sensor-28,NEBAND_alpha-sensor-29,NEBAND_alpha-sensor-30,NEBAND_alpha-sensor-31,NEBAND_alpha-sensor-32,NEBAND_beta-sensor-1,NEBAND_beta-sensor-2,NEBAND_beta-sensor-3,NEBAND_beta-sensor-4,NEBAND_beta-sensor-5,NEBAND_beta-sensor-6,NEBAND_beta-sensor-7,NEBAND_beta-sensor-8,NEBAND_beta-sensor-9,NEBAND_beta-sensor-10,NEBAND_beta-sensor-11,NEBAND_beta-sensor-12,NEBAND_beta-sensor-13,NEBAND_beta-sensor-14,NEBAND_beta-sensor-15,NEBAND_beta-sensor-16,NEBAND_beta-sensor-17,NEBAND_beta-sensor-18,NEBAND_beta-sensor-19,NEBAND_beta-sensor-20,NEBAND_beta-sensor-21,NEBAND_beta-sensor-22,NEBAND_beta-sensor-23,NEBAND_beta-sensor-24,NEBAND_beta-sensor-25,NEBAND_beta-sensor-26,NEBAND_beta-sensor-27,NEBAND_beta-sensor-28,NEBAND_beta-sensor-29,NEBAND_beta-sensor-30,NEBAND_beta-sensor-31,NEBAND_beta-sensor-32,NEBAND_gamma-sensor-1,NEBAND_gamma-sensor-2,NEBAND_gamma-sensor-3,NEBAND_gamma-sensor-4,NEBAND_gamma-sensor-5,NEBAND_gamma-sensor-6,NEBAND_gamma-sensor-7,NEBAND_gamma-sensor-8,NEBAND_gamma-sensor-9,NEBAND_gamma-sensor-10,NEBAND_gamma-sensor-11,NEBAND_gamma-sensor-12,NEBAND_gamma-sensor-13,NEBAND_gamma-sensor-14,NEBAND_gamma-sensor-15,NEBAND_gamma-sensor-16,NEBAND_gamma-sensor-17,NEBAND_gamma-sensor-18,NEBAND_gamma-sensor-19,NEBAND_gamma-sensor-20,NEBAND_gamma-sensor-21,NEBAND_gamma-sensor-22,NEBAND_gamma-sensor-23,NEBAND_gamma-sensor-24,NEBAND_gamma-sensor-25,NEBAND_gamma-sensor-26,NEBAND_gamma-sensor-27,NEBAND_gamma-sensor-28,NEBAND_gamma-sensor-29,NEBAND_gamma-sensor-30,NEBAND_gamma-sensor-31,NEBAND_gamma-sensor-32,NE_CH1,NE_CH2,NE_CH3,NE_CH4,NE_CH5,NE_CH6,NE_CH7,NE_CH8,NE_CH9,NE_CH10,NE_CH11,NE_CH12,NE_CH13,NE_CH14,NE_CH15,NE_CH16,NE_CH17,NE_CH18,NE_CH19,NE_CH20,NE_CH21,NE_CH22,NE_CH23,NE_CH24,NE_CH25,NE_CH26,NE_CH27,NE_CH28,NE_CH29,NE_CH30,NE_CH31,NE_CH32
0,00:00:01.291,1572925191637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4099321.0,-7065726.0,-400000047.0,-400000047.0,-20718863.0,-6164408.0,-30803064.0,-5350542.0,16632988.0,14416171.0,-28780511.0,-400000047.0,36214451.0,-400000047.0,-400000047.0,-400000047.0,7796574.0,11559344.0,12438251.0,-400000047.0,-13070537.0,7948685.0,-400000047.0,30234483.0,19467976.0,-400000047.0,-400000047.0,11280108.0,-400000047.0,9649611.0,17812874.0,-37408594.0
1,00:00:01.292,1572925191638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4084444.0,-7049370.0,-400000047.0,-400000047.0,-20703461.0,-6149674.0,-30786851.0,-5337811.0,16648723.0,14425565.0,-28767398.0,-400000047.0,36231951.0,-400000047.0,-400000047.0,-400000047.0,7802058.0,11567927.0,12442113.0,-400000047.0,-13055659.0,7959033.0,-400000047.0,30246976.0,19478943.0,-400000047.0,-400000047.0,11292697.0,-400000047.0,9655381.0,17838146.0,-37393383.0
2,00:00:01.293,1572925191639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4078102.0,-7042981.0,-400000047.0,-400000047.0,-20697214.0,-6143141.0,-30780509.0,-5333185.0,16669656.0,14432145.0,-28761819.0,-400000047.0,36269382.0,-400000047.0,-400000047.0,-400000047.0,7799912.0,11576129.0,12437202.0,-400000047.0,-13049365.0,7962275.0,-400000047.0,30248788.0,19486906.0,-400000047.0,-400000047.0,11297561.0,-400000047.0,9657098.0,17841579.0,-37386755.0
3,00:00:01.294,1572925191640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4087400.0,-7051659.0,-400000047.0,-400000047.0,-20706369.0,-6149578.0,-30789903.0,-5340910.0,16665842.0,14433099.0,-28769925.0,-400000047.0,36287455.0,-400000047.0,-400000047.0,-400000047.0,7800389.0,11571504.0,12426997.0,-400000047.0,-13058282.0,7955933.0,-400000047.0,30242637.0,19483282.0,-400000047.0,-400000047.0,11289884.0,-400000047.0,9655429.0,17836572.0,-37394623.0
4,00:00:01.295,1572925191641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4085064.0,-7047749.0,-400000047.0,-400000047.0,-20702841.0,-6144953.0,-30787519.0,-5335426.0,16671325.0,14444543.0,-28766635.0,-400000047.0,36291794.0,-400000047.0,-400000047.0,-400000047.0,7813979.0,11573077.0,12435342.0,-400000047.0,-13055373.0,7963801.0,-400000047.0,30251792.0,19490053.0,-400000047.0,-400000047.0,11292363.0,-400000047.0,9659768.0,17845728.0,-37393049.0
5,00:00:01.296,1572925191642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4085636.0,-7048416.0,-400000047.0,-400000047.0,-20702459.0,-6146813.0,-30788759.0,-5336619.0,16660024.0,14436914.0,-28765348.0,-400000047.0,36275343.0,-400000047.0,-400000047.0,-400000047.0,7815409.0,11571361.0,12440110.0,-400000047.0,-13055087.0,7965851.0,-400000047.0,30247215.0,19488193.0,-400000047.0,-400000047.0,11290360.0,-400000047.0,9656335.0,17845442.0,-37393860.0
6,00:00:01.297,1572925191643,5.5920000000000005,2.075,0.0,0.0,2.502,0.311,0.7509999999999999,1.166,0.423,0.385,1.177,0.0,2.371,0.0,0.0,0.0,5.507999999999999,0.8759999999999999,2.8089999999999997,0.0,3.049,0.9790000000000001,0.0,0.711,1.1340000000000001,0.0,0.0,9.408,0.0,2.552,6.079,1.119,1.412,1.8330000000000002,0.0,0.0,2.3169999999999997,2.287,2.2359999999999998,1.807,2.376,2.339,2.086,0.0,6.263,0.0,0.0,0.0,3.5860000000000003,3.048,2.372,0.0,1.504,2.108,0.0,3.884,2.294,0.0,0.0,2.3369999999999997,0.0,5.292999999999998,5.537999999999999,1.864,1.165,1.579,0.0,0.0,1.672,1.2790000000000001,1.444,1.5430000000000001,5.625,2.7119999999999997,2.213,0.0,12.203,0.0,0.0,0.0,3.887,3.9019999999999997,1.929,0.0,1.311,3.285,0.0,4.625,2.313,0.0,0.0,1.232,0.0,4.5089999999999995,7.3210000000000015,1.443,19.593,11.148,0.0,0.0,14.421,3.221,23.656999999999996,5.702999999999999,2.165,2.948,1.985,0.0,26.031,0.0,0.0,0.0,62.445,8.888,22.741999999999997,0.0,6.221,6.3229999999999995,0.0,23.715,5.659,0.0,0.0,51.45,0.0,15.76,9.793,3.7119999999999997,20198.1,3007.06,0.0,0.0,8047.58,327.024,5055.65,425.04,112.786,532.151,430.17800000000005,0.0,1010.24,0.0,0.0,0.0,2201.36,647.755,608.081,0.0,3663.6,122.196,0.0,530.6569999999998,541.774,0.0,0.0,402.76199999999994,0.0,250.518,568.066,413.99,-4090595.0,-7049656.0,-400000047.0,-400000047.0,-20704319.0,-6150341.0,-30791429.0,-5341721.0,16631271.0,14426328.0,-28764585.0,-400000047.0,36269001.0,-400000047.0,-400000047.0,-400000047.0,7814932.0,11565591.0,12436200.0,-400000047.0,-13057424.0,7962370.0,-400000047.0,30233911.0,19477465.0,-400000047.0,-400000047.0,11285449.0,-400000047.0,9646321.0,17848970.0,-37396673.0
7,00:00:01.298,1572925191644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4094791.0,-7054997.0,-400000047.0,-400000047.0,-20709087.0,-6156636.0,-30795530.0,-5349112.0,16615058.0,14421226.0,-28768352.0,-400000047.0,36247114.0,-400000047.0,-400000047.0,-400000047.0,7811451.0,11557437.0,12429143.0,-400000047.0,-13061620.0,7954884.0,-400000047.0,30225280.0,19467070.0,-400000047.0,-400000047.0,11279250.0,-400000047.0,9634734.0,17840482.0,-37400107.0
8,00:00:01.299,1572925191645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4095745.0,-7058573.0,-400000047.0,-400000047.0,-20710995.0,-6159115.0,-30797580.0,-5350161.0,16623594.0,14425184.0,-28771642.0,-400000047.0,36257223.0,-400000047.0,-400000047.0,-400000047.0,7807732.0,11563636.0,12433244.0,-400000047.0,-13063241.0,7951308.0,-400000047.0,30224183.0,19469072.0,-400000047.0,-400000047.0,11276818.0,-400000047.0,9639216.0,17839433.0,-37402252.0
9,00:00:01.303,1572925191649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4100513.0,-7065726.0,-400000047.0,-400000047.0,-20717909.0,-6165743.0,-30804399.0,-5355024.0,16632368.0,14423705.0,-28780416.0,-400000047.0,36265997.0,-400000047.0,-400000047.0,-400000047.0,7800580.0,11562968.0,12431193.0,-400000047.0,-13071109.0,7943106.0,-400000047.0,30214790.0,19466545.0,-400000047.0,-400000047.0,11269713.0,-400000047.0,9642745.0,17843296.0,-37409643.0
