,rec_time,UTC,NEBAND_delta-sensor-1,NEBAND_delta-sensor-2,NEBAND_delta-sensor-3,NEBAND_delta-sensor-4,NEBAND_delta-sensor-5,NEBAND_delta-sensor-6,NEBAND_delta-sensor-7,NEBAND_delta-sensor-8,NEBAND_delta-sensor-9,NEBAND_delta-sensor-10,NEBAND_delta-sensor-11,NEBAND_delta-sensor-12,NEBAND_delta-sensor-13,NEBAND_delta-sensor-14,NEBAND_delta-sensor-15,NEBAND_delta-sensor-16,NEBAND_delta-sensor-17,NEBAND_delta-sensor-18,NEBAND_delta-sensor-19,NEBAND_delta-sensor-20,NEBAND_delta-sensor-21,NEBAND_delta-sensor-22,NEBAND_delta-sensor-23,NEBAND_delta-sensor-24,NEBAND_delta-sensor-25,NEBAND_delta-sensor-26,NEBAND_delta-sensor-27,NEBAND_delta-sensor-28,NEBAND_delta-sensor-29,NEBAND_delta-sensor-30,NEBAND_delta-sensor-31,NEBAND_delta-sensor-32,NEBAND_theta-sensor-1,NEBAND_theta-sensor-2,NEBAND_theta-sensor-3,NEBAND_theta-sensor-4,NEBAND_theta-sensor-5,NEBAND_theta-sensor-6,NEBAND_theta-sensor-7,NEBAND_theta-sensor-8,NEBAND_theta-sensor-9,NEBAND_theta-sensor-10,NEBAND_theta-sensor-11,NEBAND_theta-sensor-12,NEBAND_theta-sensor-13,NEBAND_theta-sensor-14,NEBAND_theta-sensor-15,NEBAND_theta-sensor-16,NEBAND_theta-sensor-17,NEBAND_theta-sensor-18,NEBAND_theta-sensor-19,NEBAND_theta-sensor-20,NEBAND_theta-sensor-21,NEBAND_theta-sensor-22,NEBAND_theta-sensor-23,NEBAND_theta-sensor-24,NEBAND_theta-sensor-25,NEBAND_theta-sensor-26,NEBAND_theta-sensor-27,NEBAND_theta-sensor-28,NEBAND_theta-sensor-29,NEBAND_theta-sensor-30,NEBAND_theta-sensor-31,NEBAND_theta-sensor-32,NEBAND_alpha-sensor-1,NEBAND_alpha-sensor-2,NEBAND_alpha-sensor-3,NEBAND_alpha-sensor-4,NEBAND_alpha-sensor-5,NEBAND_alpha-sensor-6,NEBAND_alpha-sensor-7,NEBAND_alpha-sensor-8,NEBAND_alpha-sensor-9,NEBAND_alpha-sensor-10,NEBAND_alpha-sensor-11,NEBAND_alpha-sensor-12,NEBAND_alpha-sensor-13,NEBAND_alpha-sensor-14,NEBAND_alpha-sensor-15,NEBAND_alpha-sensor-16,NEBAND_alpha-sensor-17,NEBAND_alpha-sensor-18,NEBAND_alpha-sensor-19,NEBAND_alpha-sensor-20,NEBAND_alpha-sensor-21,NEBAND_alpha-sensor-22,NEBAND_alpha-sensor-23,NEBAND_alpha-sensor-24,NEBAND_alpha-sensor-25,NEBAND_alpha-sensor-26,NEBAND_alpha-sensor-27,NEBAND_alpha-sensor-28,NEBAND_alpha-sensor-29,NEBAND_alpha-sensor-30,NEBAND_alpha-sensor-31,NEBAND_alpha-sensor-32,NEBAND_beta-sensor-1,NEBAND_beta-sensor-2,NEBAND_beta-sensor-3,NEBAND_beta-sensor-4,NEBAND_beta-sensor-5,NEBAND_beta-sensor-6,NEBAND_beta-sensor-7,NEBAND_beta-sensor-8,NEBAND_beta-sensor-9,NEBAND_beta-sensor-10,NEBAND_beta-sensor-11,NEBAND_beta-sensor-12,NEBAND_beta-sensor-13,NEBAND_beta-sensor-14,NEBAND_beta-sensor-15,NEBAND_beta-sensor-16,NEBAND_beta-sensor-17,NEBAND_beta-sensor-18,NEBAND_beta-sensor-19,NEBAND_beta-sensor-20,NEBAND_beta-sensor-21,NEBAND_beta-sensor-22,NEBAND_beta-sensor-23,NEBAND_beta-sensor-24,NEBAND_beta-sensor-25,NEBAND_beta-sensor-26,NEBAND_beta-sensor-27,NEBAND_beta-sensor-28,NEBAND_beta-sensor-29,NEBAND_beta-sensor-30,NEBAND_beta-sensor-31,NEBAND_beta-sensor-32,NEBAND_gamma-sensor-1,NEBAND_gamma-sensor-2,NEBAND_gamma-sensor-3,NEBAND_gamma-sensor-4,NEBAND_gamma-sensor-5,NEBAND_gamma-sensor-6,NEBAND_gamma-sensor-7,NEBAND_gamma-sensor-8,NEBAND_gamma-sensor-9,NEBAND_gamma-sensor-10,NEBAND_gamma-sensor-11,NEBAND_gamma-sensor-12,NEBAND_gamma-sensor-13,NEBAND_gamma-sensor-14,NEBAND_gamma-sensor-15,NEBAND_gamma-sensor-16,NEBAND_gamma-sensor-17,NEBAND_gamma-sensor-18,NEBAND_gamma-sensor-19,NEBAND_gamma-sensor-20,NEBAND_gamma-sensor-21,NEBAND_gamma-sensor-22,NEBAND_gamma-sensor-23,NEBAND_gamma-sensor-24,NEBAND_gamma-sensor-25,NEBAND_gamma-sensor-26,NEBAND_gamma-sensor-27,NEBAND_gamma-sensor-28,NEBAND_gamma-sensor-29,NEBAND_gamma-sensor-30,NEBAND_gamma-sensor-31,NEBAND_gamma-sensor-32,NE_CH1,NE_CH2,NE_CH3,NE_CH4,NE_CH5,NE_CH6,NE_CH7,NE_CH8,NE_CH9,NE_CH10,NE_CH11,NE_CH12,NE_CH13,NE_CH14,NE_CH15,NE_CH16,NE_CH17,NE_CH18,NE_CH19,NE_CH20,NE_CH21,NE_CH22,NE_CH23,NE_CH24,NE_CH25,NE_CH26,NE_CH27,NE_CH28,NE_CH29,NE_CH30,NE_CH31,NE_CH32
0,00:00:00.337,1572870374898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5315209.0,-551271.0,-400000047.0,-9184361.0,12204648.0,-1014614.0,-34136204.0,1224041.0,-5266237.0,4476213.0,4890299.0,-22829583.0,24200156.0,-158023.0,33599189.0,-4917717.0,19225742.0,-3430080.0,-12394477.0,-400000047.0,-21561529.0,-25661519.0,-35968737.0,-12059499.0,-21347954.0,-34430651.0,-400000047.0,30507615.0,21125271.0,10862542.0,-1759100.0,-23246624.0
1,00:00:00.342,1572870374903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5303431.0,-539112.0,-400000047.0,-9162760.0,12222291.0,-1017332.0,-34128860.0,1225090.0,-5282927.0,4471111.0,4906464.0,-22823098.0,24194243.0,-147247.0,33618978.0,-4913139.0,19216062.0,-3432226.0,-12399484.0,-400000047.0,-21557047.0,-25665333.0,-35957674.0,-12064219.0,-21350577.0,-34406952.0,-400000047.0,30522064.0,21139385.0,10862733.0,-1766061.0,-23232033.0
2,00:00:00.343,1572870374904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5326224.0,-567007.0,-400000047.0,-9186984.0,12197448.0,-1023578.0,-34144405.0,1212072.0,-5284453.0,4471493.0,4880428.0,-22849419.0,24189808.0,-174760.0,33594898.0,-4940271.0,19208099.0,-3443909.0,-12411595.0,-400000047.0,-21577885.0,-25682023.0,-35992102.0,-12067462.0,-21364739.0,-34429840.0,-400000047.0,30496028.0,21112110.0,10843516.0,-1769161.0,-23255112.0
3,00:00:00.344,1572870374905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5332804.0,-581359.0,-400000047.0,-9202529.0,12183476.0,-1007986.0,-34144930.0,1217746.0,-5260515.0,4483509.0,4865170.0,-22858622.0,24192526.0,-187730.0,33580450.0,-4949808.0,19210007.0,-3438997.0,-12411214.0,-400000047.0,-21580031.0,-25674203.0,-36016706.0,-12067319.0,-21356775.0,-34445719.0,-400000047.0,30480245.0,21096899.0,10845567.0,-1765871.0,-23266413.0
4,00:00:00.345,1572870374906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5328846.0,-581789.0,-400000047.0,-9203482.0,12183524.0,-998497.0,-34147695.0,1218938.0,-5250311.0,4485464.0,4866934.0,-22854664.0,24179842.0,-182342.0,33582548.0,-4947901.0,19197037.0,-3441524.0,-12417604.0,-400000047.0,-21576836.0,-25662615.0,-36022142.0,-12070371.0,-21349718.0,-34444574.0,-400000047.0,30480245.0,21097853.0,10846902.0,-1776218.0,-23264744.0
5,00:00:00.346,1572870374907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5322886.0,-572776.0,-400000047.0,-9192753.0,12193109.0,-999260.0,-34146646.0,1214790.0,-5255175.0,4481840.0,4879952.0,-22843697.0,24168875.0,-165510.0,33595709.0,-4943180.0,19182064.0,-3447056.0,-12424041.0,-400000047.0,-21571495.0,-25655081.0,-36013893.0,-12072850.0,-21347763.0,-34428219.0,-400000047.0,30490783.0,21109631.0,10846711.0,-1788759.0,-23255446.0
6,00:00:00.347,1572870374908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5328608.0,-572538.0,-400000047.0,-9188462.0,12195493.0,-1018571.0,-34155420.0,1200628.0,-5277920.0,4465723.0,4884338.0,-22845414.0,24153807.0,-158166.0,33602003.0,-4948092.0,19166901.0,-3460598.0,-12436152.0,-400000047.0,-21579315.0,-25665572.0,-36009745.0,-12089826.0,-21363690.0,-34419731.0,-400000047.0,30491498.0,21114018.0,10834981.0,-1803922.0,-23254158.0
7,00:00:00.348,1572870374909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5316448.0,-556516.0,-400000047.0,-9166957.0,12213279.0,-1023578.0,-34149126.0,1202249.0,-5275488.0,4470444.0,4903936.0,-22834828.0,24152567.0,-134420.0,33624510.0,-4940939.0,19163181.0,-3460026.0,-12437058.0,-400000047.0,-21571924.0,-25661996.0,-35990290.0,-12090827.0,-21361735.0,-34393600.0,-400000047.0,30509761.0,21134903.0,10835887.0,-1805067.0,-23235276.0
8,00:00:00.349,1572870374910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5335236.0,-574255.0,-400000047.0,-9180117.0,12194825.0,-1031017.0,-34167198.0,1182222.0,-5276394.0,4474592.0,4888582.0,-22855713.0,24151185.0,-151348.0,33609203.0,-4964399.0,19158794.0,-3476667.0,-12453176.0,-400000047.0,-21590140.0,-25675013.0,-36010937.0,-12092687.0,-21373655.0,-34404711.0,-400000047.0,30491451.0,21118404.0,10813523.0,-1810264.0,-23251727.0
9,00:00:00.350,1572870374911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5335856.0,-579881.0,-400000047.0,-9185982.0,12187911.0,-1015758.0,-34159139.0,1189375.0,-5268383.0,4480743.0,4883242.0,-22860482.0,24161532.0,-158643.0,33601907.0,-4968548.0,19171669.0,-3462124.0,-12439967.0,-400000047.0,-21589138.0,-25671055.0,-36027197.0,-12078858.0,-21364786.0,-34409384.0,-400000047.0,30482343.0,21108534.0,10821296.0,-1796341.0,-23256829.0
