,rec_time,UTC,NEBAND_delta-sensor-1,NEBAND_delta-sensor-2,NEBAND_delta-sensor-3,NEBAND_delta-sensor-4,NEBAND_delta-sensor-5,NEBAND_delta-sensor-6,NEBAND_delta-sensor-7,NEBAND_delta-sensor-8,NEBAND_delta-sensor-9,NEBAND_delta-sensor-10,NEBAND_delta-sensor-11,NEBAND_delta-sensor-12,NEBAND_delta-sensor-13,NEBAND_delta-sensor-14,NEBAND_delta-sensor-15,NEBAND_delta-sensor-16,NEBAND_delta-sensor-17,NEBAND_delta-sensor-18,NEBAND_delta-sensor-19,NEBAND_delta-sensor-20,NEBAND_delta-sensor-21,NEBAND_delta-sensor-22,NEBAND_delta-sensor-23,NEBAND_delta-sensor-24,NEBAND_delta-sensor-25,NEBAND_delta-sensor-26,NEBAND_delta-sensor-27,NEBAND_delta-sensor-28,NEBAND_delta-sensor-29,NEBAND_delta-sensor-30,NEBAND_delta-sensor-31,NEBAND_delta-sensor-32,NEBAND_theta-sensor-1,NEBAND_theta-sensor-2,NEBAND_theta-sensor-3,NEBAND_theta-sensor-4,NEBAND_theta-sensor-5,NEBAND_theta-sensor-6,NEBAND_theta-sensor-7,NEBAND_theta-sensor-8,NEBAND_theta-sensor-9,NEBAND_theta-sensor-10,NEBAND_theta-sensor-11,NEBAND_theta-sensor-12,NEBAND_theta-sensor-13,NEBAND_theta-sensor-14,NEBAND_theta-sensor-15,NEBAND_theta-sensor-16,NEBAND_theta-sensor-17,NEBAND_theta-sensor-18,NEBAND_theta-sensor-19,NEBAND_theta-sensor-20,NEBAND_theta-sensor-21,NEBAND_theta-sensor-22,NEBAND_theta-sensor-23,NEBAND_theta-sensor-24,NEBAND_theta-sensor-25,NEBAND_theta-sensor-26,NEBAND_theta-sensor-27,NEBAND_theta-sensor-28,NEBAND_theta-sensor-29,NEBAND_theta-sensor-30,NEBAND_theta-sensor-31,NEBAND_theta-sensor-32,NEBAND_alpha-sensor-1,NEBAND_alpha-sensor-2,NEBAND_alpha-sensor-3,NEBAND_alpha-sensor-4,NEBAND_alpha-sensor-5,NEBAND_alpha-sensor-6,NEBAND_alpha-sensor-7,NEBAND_alpha-sensor-8,NEBAND_alpha-sensor-9,NEBAND_alpha-sensor-10,NEBAND_alpha-sensor-11,NEBAND_alpha-sensor-12,NEBAND_alpha-sensor-13,NEBAND_alpha-sensor-14,NEBAND_alpha-sensor-15,NEBAND_alpha-sensor-16,NEBAND_alpha-sensor-17,NEBAND_alpha-sensor-18,NEBAND_alpha-sensor-19,NEBAND_alpha-sensor-20,NEBAND_alpha-sensor-21,NEBAND_alpha-sensor-22,NEBAND_alpha-sensor-23,NEBAND_alpha-sensor-24,NEBAND_alpha-sensor-25,NEBAND_alpha-sensor-26,NEBAND_alpha-sensor-27,NEBAND_alpha-sensor-28,NEBAND_alpha-sensor-29,NEBAND_alpha-sensor-30,NEBAND_alpha-sensor-31,NEBAND_alpha-sensor-32,NEBAND_beta-sensor-1,NEBAND_beta-sensor-2,NEBAND_beta-sensor-3,NEBAND_beta-sensor-4,NEBAND_beta-sensor-5,NEBAND_beta-sensor-6,NEBAND_beta-sensor-7,NEBAND_beta-sensor-8,NEBAND_beta-sensor-9,NEBAND_beta-sensor-10,NEBAND_beta-sensor-11,NEBAND_beta-sensor-12,NEBAND_beta-sensor-13,NEBAND_beta-sensor-14,NEBAND_beta-sensor-15,NEBAND_beta-sensor-16,NEBAND_beta-sensor-17,NEBAND_beta-sensor-18,NEBAND_beta-sensor-19,NEBAND_beta-sensor-20,NEBAND_beta-sensor-21,NEBAND_beta-sensor-22,NEBAND_beta-sensor-23,NEBAND_beta-sensor-24,NEBAND_beta-sensor-25,NEBAND_beta-sensor-26,NEBAND_beta-sensor-27,NEBAND_beta-sensor-28,NEBAND_beta-sensor-29,NEBAND_beta-sensor-30,NEBAND_beta-sensor-31,NEBAND_beta-sensor-32,NEBAND_gamma-sensor-1,NEBAND_gamma-sensor-2,NEBAND_gamma-sensor-3,NEBAND_gamma-sensor-4,NEBAND_gamma-sensor-5,NEBAND_gamma-sensor-6,NEBAND_gamma-sensor-7,NEBAND_gamma-sensor-8,NEBAND_gamma-sensor-9,NEBAND_gamma-sensor-10,NEBAND_gamma-sensor-11,NEBAND_gamma-sensor-12,NEBAND_gamma-sensor-13,NEBAND_gamma-sensor-14,NEBAND_gamma-sensor-15,NEBAND_gamma-sensor-16,NEBAND_gamma-sensor-17,NEBAND_gamma-sensor-18,NEBAND_gamma-sensor-19,NEBAND_gamma-sensor-20,NEBAND_gamma-sensor-21,NEBAND_gamma-sensor-22,NEBAND_gamma-sensor-23,NEBAND_gamma-sensor-24,NEBAND_gamma-sensor-25,NEBAND_gamma-sensor-26,NEBAND_gamma-sensor-27,NEBAND_gamma-sensor-28,NEBAND_gamma-sensor-29,NEBAND_gamma-sensor-30,NEBAND_gamma-sensor-31,NEBAND_gamma-sensor-32,NE_CH1,NE_CH2,NE_CH3,NE_CH4,NE_CH5,NE_CH6,NE_CH7,NE_CH8,NE_CH9,NE_CH10,NE_CH11,NE_CH12,NE_CH13,NE_CH14,NE_CH15,NE_CH16,NE_CH17,NE_CH18,NE_CH19,NE_CH20,NE_CH21,NE_CH22,NE_CH23,NE_CH24,NE_CH25,NE_CH26,NE_CH27,NE_CH28,NE_CH29,NE_CH30,NE_CH31,NE_CH32
0,00:00:02.324,1572924926574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3284454.0,-11235810.0,-400000047.0,-400000047.0,-17675258.0,-6345749.0,-31960872.0,-8092356.0,13888360.0,14491178.0,-400000047.0,-400000047.0,37020973.0,-400000047.0,-400000047.0,-400000047.0,11532737.0,17893221.0,11988307.0,-400000047.0,-14401389.0,25571492.0,-400000047.0,27652886.0,9612132.0,-400000047.0,-400000047.0,-554752.0,-400000047.0,-7227612.0,24132016.0,-34964947.0
1,00:00:02.325,1572924926575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3277492.0,-11231042.0,-400000047.0,-400000047.0,-17670681.0,-6344366.0,-31955150.0,-8088828.0,13884069.0,14495994.0,-400000047.0,-400000047.0,37018112.0,-400000047.0,-400000047.0,-400000047.0,11535216.0,17890884.0,11985446.0,-400000047.0,-14397098.0,25571444.0,-400000047.0,27652219.0,9615279.0,-400000047.0,-400000047.0,-549316.0,-400000047.0,-7223273.0,24128535.0,-34959654.0
2,00:00:02.326,1572924926576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3271198.0,-11224414.0,-400000047.0,-400000047.0,-17666675.0,-6342268.0,-31950668.0,-8086443.0,13874198.0,14495994.0,-400000047.0,-400000047.0,37009195.0,-400000047.0,-400000047.0,-400000047.0,11532975.0,17887356.0,11978484.0,-400000047.0,-14393474.0,25565913.0,-400000047.0,27646449.0,9614516.0,-400000047.0,-400000047.0,-544357.0,-400000047.0,-7223845.0,24120619.0,-34954599.0
3,00:00:02.327,1572924926577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3272247.0,-11224414.0,-400000047.0,-400000047.0,-17666866.0,-6343556.0,-31951383.0,-8089495.0,13863183.0,14487888.0,-400000047.0,-400000047.0,36999849.0,-400000047.0,-400000047.0,-400000047.0,11525584.0,17879583.0,11968184.0,-400000047.0,-14393903.0,25554898.0,-400000047.0,27636197.0,9607125.0,-400000047.0,-400000047.0,-543642.0,-400000047.0,-7228804.0,24109795.0,-34955934.0
4,00:00:03.612,1572924927862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3272295.0,-11227418.0,-400000047.0,-400000047.0,-17670204.0,-6344414.0,-31952480.0,-8090115.0,13864042.0,14480640.0,-400000047.0,-400000047.0,37004522.0,-400000047.0,-400000047.0,-400000047.0,11525060.0,17871763.0,11966516.0,-400000047.0,-14394475.0,25551131.0,-400000047.0,27635720.0,9602738.0,-400000047.0,-400000047.0,-545358.0,-400000047.0,-7233096.0,24108031.0,-34957842.0
5,00:00:03.613,1572924927863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3265810.0,-11221982.0,-400000047.0,-400000047.0,-17665960.0,-6341315.0,-31945804.0,-8084870.0,13873626.0,14483358.0,-400000047.0,-400000047.0,37014298.0,-400000047.0,-400000047.0,-400000047.0,11530114.0,17875673.0,11971856.0,-400000047.0,-14390804.0,25558045.0,-400000047.0,27643016.0,9607745.0,-400000047.0,-400000047.0,-539588.0,-400000047.0,-7229662.0,24113467.0,-34955314.0
6,00:00:03.614,1572924927864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3257227.0,-11214972.0,-400000047.0,-400000047.0,-17658855.0,-6333685.0,-31936506.0,-8079243.0,13883210.0,14490701.0,-400000047.0,-400000047.0,37028841.0,-400000047.0,-400000047.0,-400000047.0,11539746.0,17887737.0,11979962.0,-400000047.0,-14384939.0,25569871.0,-400000047.0,27655366.0,9614182.0,-400000047.0,-400000047.0,-533533.0,-400000047.0,-7222176.0,24121907.0,-34948686.0
7,00:00:03.615,1572924927865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3248978.0,-11210299.0,-400000047.0,-400000047.0,-17651798.0,-6327296.0,-31930450.0,-8072234.0,13900949.0,14503289.0,-400000047.0,-400000047.0,37049774.0,-400000047.0,-400000047.0,-400000047.0,11551906.0,17903711.0,11995173.0,-400000047.0,-14380409.0,25588134.0,-400000047.0,27672913.0,9622718.0,-400000047.0,-400000047.0,-526142.0,-400000047.0,-7209492.0,24135783.0,-34944633.0
8,00:00:03.616,1572924927866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3252840.0,-11216927.0,-400000047.0,-400000047.0,-17658569.0,-6334496.0,-31937078.0,-8076382.0,13907195.0,14508058.0,-400000047.0,-400000047.0,37053970.0,-400000047.0,-400000047.0,-400000047.0,11554099.0,17906572.0,12000609.0,-400000047.0,-14387561.0,25594952.0,-400000047.0,27681020.0,9621287.0,-400000047.0,-400000047.0,-531721.0,-400000047.0,-7208109.0,24138691.0,-34952453.0
9,00:00:03.617,1572924927867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3234434.0,-11198712.0,-400000047.0,-400000047.0,-17641975.0,-6317711.0,-31919197.0,-8061362.0,13901569.0,14519502.0,-400000047.0,-400000047.0,37042431.0,-400000047.0,-400000047.0,-400000047.0,11561204.0,17909242.0,12005473.0,-400000047.0,-14370109.0,25599530.0,-400000047.0,27685311.0,9632493.0,-400000047.0,-400000047.0,-514698.0,-400000047.0,-7196045.0,24143221.0,-34936527.0
