,rec_time,UTC,NEBAND_delta-sensor-1,NEBAND_delta-sensor-2,NEBAND_delta-sensor-3,NEBAND_delta-sensor-4,NEBAND_delta-sensor-5,NEBAND_delta-sensor-6,NEBAND_delta-sensor-7,NEBAND_delta-sensor-8,NEBAND_delta-sensor-9,NEBAND_delta-sensor-10,NEBAND_delta-sensor-11,NEBAND_delta-sensor-12,NEBAND_delta-sensor-13,NEBAND_delta-sensor-14,NEBAND_delta-sensor-15,NEBAND_delta-sensor-16,NEBAND_delta-sensor-17,NEBAND_delta-sensor-18,NEBAND_delta-sensor-19,NEBAND_delta-sensor-20,NEBAND_delta-sensor-21,NEBAND_delta-sensor-22,NEBAND_delta-sensor-23,NEBAND_delta-sensor-24,NEBAND_delta-sensor-25,NEBAND_delta-sensor-26,NEBAND_delta-sensor-27,NEBAND_delta-sensor-28,NEBAND_delta-sensor-29,NEBAND_delta-sensor-30,NEBAND_delta-sensor-31,NEBAND_delta-sensor-32,NEBAND_theta-sensor-1,NEBAND_theta-sensor-2,NEBAND_theta-sensor-3,NEBAND_theta-sensor-4,NEBAND_theta-sensor-5,NEBAND_theta-sensor-6,NEBAND_theta-sensor-7,NEBAND_theta-sensor-8,NEBAND_theta-sensor-9,NEBAND_theta-sensor-10,NEBAND_theta-sensor-11,NEBAND_theta-sensor-12,NEBAND_theta-sensor-13,NEBAND_theta-sensor-14,NEBAND_theta-sensor-15,NEBAND_theta-sensor-16,NEBAND_theta-sensor-17,NEBAND_theta-sensor-18,NEBAND_theta-sensor-19,NEBAND_theta-sensor-20,NEBAND_theta-sensor-21,NEBAND_theta-sensor-22,NEBAND_theta-sensor-23,NEBAND_theta-sensor-24,NEBAND_theta-sensor-25,NEBAND_theta-sensor-26,NEBAND_theta-sensor-27,NEBAND_theta-sensor-28,NEBAND_theta-sensor-29,NEBAND_theta-sensor-30,NEBAND_theta-sensor-31,NEBAND_theta-sensor-32,NEBAND_alpha-sensor-1,NEBAND_alpha-sensor-2,NEBAND_alpha-sensor-3,NEBAND_alpha-sensor-4,NEBAND_alpha-sensor-5,NEBAND_alpha-sensor-6,NEBAND_alpha-sensor-7,NEBAND_alpha-sensor-8,NEBAND_alpha-sensor-9,NEBAND_alpha-sensor-10,NEBAND_alpha-sensor-11,NEBAND_alpha-sensor-12,NEBAND_alpha-sensor-13,NEBAND_alpha-sensor-14,NEBAND_alpha-sensor-15,NEBAND_alpha-sensor-16,NEBAND_alpha-sensor-17,NEBAND_alpha-sensor-18,NEBAND_alpha-sensor-19,NEBAND_alpha-sensor-20,NEBAND_alpha-sensor-21,NEBAND_alpha-sensor-22,NEBAND_alpha-sensor-23,NEBAND_alpha-sensor-24,NEBAND_alpha-sensor-25,NEBAND_alpha-sensor-26,NEBAND_alpha-sensor-27,NEBAND_alpha-sensor-28,NEBAND_alpha-sensor-29,NEBAND_alpha-sensor-30,NEBAND_alpha-sensor-31,NEBAND_alpha-sensor-32,NEBAND_beta-sensor-1,NEBAND_beta-sensor-2,NEBAND_beta-sensor-3,NEBAND_beta-sensor-4,NEBAND_beta-sensor-5,NEBAND_beta-sensor-6,NEBAND_beta-sensor-7,NEBAND_beta-sensor-8,NEBAND_beta-sensor-9,NEBAND_beta-sensor-10,NEBAND_beta-sensor-11,NEBAND_beta-sensor-12,NEBAND_beta-sensor-13,NEBAND_beta-sensor-14,NEBAND_beta-sensor-15,NEBAND_beta-sensor-16,NEBAND_beta-sensor-17,NEBAND_beta-sensor-18,NEBAND_beta-sensor-19,NEBAND_beta-sensor-20,NEBAND_beta-sensor-21,NEBAND_beta-sensor-22,NEBAND_beta-sensor-23,NEBAND_beta-sensor-24,NEBAND_beta-sensor-25,NEBAND_beta-sensor-26,NEBAND_beta-sensor-27,NEBAND_beta-sensor-28,NEBAND_beta-sensor-29,NEBAND_beta-sensor-30,NEBAND_beta-sensor-31,NEBAND_beta-sensor-32,NEBAND_gamma-sensor-1,NEBAND_gamma-sensor-2,NEBAND_gamma-sensor-3,NEBAND_gamma-sensor-4,NEBAND_gamma-sensor-5,NEBAND_gamma-sensor-6,NEBAND_gamma-sensor-7,NEBAND_gamma-sensor-8,NEBAND_gamma-sensor-9,NEBAND_gamma-sensor-10,NEBAND_gamma-sensor-11,NEBAND_gamma-sensor-12,NEBAND_gamma-sensor-13,NEBAND_gamma-sensor-14,NEBAND_gamma-sensor-15,NEBAND_gamma-sensor-16,NEBAND_gamma-sensor-17,NEBAND_gamma-sensor-18,NEBAND_gamma-sensor-19,NEBAND_gamma-sensor-20,NEBAND_gamma-sensor-21,NEBAND_gamma-sensor-22,NEBAND_gamma-sensor-23,NEBAND_gamma-sensor-24,NEBAND_gamma-sensor-25,NEBAND_gamma-sensor-26,NEBAND_gamma-sensor-27,NEBAND_gamma-sensor-28,NEBAND_gamma-sensor-29,NEBAND_gamma-sensor-30,NEBAND_gamma-sensor-31,NEBAND_gamma-sensor-32,NE_CH1,NE_CH2,NE_CH3,NE_CH4,NE_CH5,NE_CH6,NE_CH7,NE_CH8,NE_CH9,NE_CH10,NE_CH11,NE_CH12,NE_CH13,NE_CH14,NE_CH15,NE_CH16,NE_CH17,NE_CH18,NE_CH19,NE_CH20,NE_CH21,NE_CH22,NE_CH23,NE_CH24,NE_CH25,NE_CH26,NE_CH27,NE_CH28,NE_CH29,NE_CH30,NE_CH31,NE_CH32
0,00:00:01.349,1572871281259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3104162.0,-6845665.0,-400000047.0,-32854894.0,-8957100.0,2901792.0,-33070758.0,-14028503.0,-2877903.0,3039789.0,16235687.0,-26473620.0,24180892.0,-26773789.0,21997502.0,-15577222.0,24382021.0,792646.0,-13012506.0,-400000047.0,-17282678.0,-24541762.0,-52929789.0,-10776187.0,-14901353.0,-179963896.0,-400000047.0,25647881.0,-19553282.0,21111490.0,1733541.0,-20950892.0
1,00:00:01.350,1572871281260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3103828.0,-6840039.0,-400000047.0,-32847408.0,-8950663.0,2893877.0,-33073000.0,-14030887.0,-2887821.0,3027344.0,16239931.0,-26470902.0,24168208.0,-26767590.0,22004559.0,-15577413.0,24365428.0,783538.0,-13023568.0,-400000047.0,-17286064.0,-24548008.0,-52922588.0,-10786582.0,-14906837.0,-179956076.0,-400000047.0,25652268.0,-19546892.0,21103432.0,1732254.0,-20947125.0
2,00:00:01.351,1572871281261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3092432.0,-6853390.0,-400000047.0,-32862142.0,-8965302.0,2889442.0,-33080057.0,-14038135.0,-2892303.0,3025627.0,16226579.0,-26480773.0,24172213.0,-26778415.0,21991780.0,-15589048.0,24366810.0,778675.0,-13025714.0,-400000047.0,-17296602.0,-24553063.0,-52933746.0,-10788728.0,-14913322.0,-179970095.0,-400000047.0,25639966.0,-19560053.0,21098282.0,1734209.0,-20958616.0
3,00:00:01.352,1572871281262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3092146.0,-6852770.0,-400000047.0,-32861761.0,-8962679.0,2886343.0,-33086589.0,-14039375.0,-2896118.0,3021002.0,16227390.0,-26478579.0,24171546.0,-26772359.0,21992638.0,-15589191.0,24363949.0,777149.0,-13028289.0,-400000047.0,-17295410.0,-24552586.0,-52927309.0,-10797454.0,-14912654.0,-179966471.0,-400000047.0,25640538.0,-19555523.0,21097233.0,1730251.0,-20956232.0
4,00:00:01.353,1572871281263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090906.0,-6854964.0,-400000047.0,-32865480.0,-8963872.0,2884102.0,-33088020.0,-14039232.0,-2895593.0,3023338.0,16224195.0,-26478150.0,24177124.0,-26771357.0,21990635.0,-15588857.0,24369767.0,781440.0,-13023807.0,-400000047.0,-17296983.0,-24553635.0,-52928263.0,-10798264.0,-14913179.0,-179967520.0,-400000047.0,25639489.0,-19556333.0,21098663.0,1734781.0,-20958044.0
5,00:00:01.354,1572871281264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3097820.0,-6850815.0,-400000047.0,-32860330.0,-8958054.0,2888107.0,-33077863.0,-14034940.0,-2889442.0,3027534.0,16228630.0,-26473143.0,24181368.0,-26763633.0,21995833.0,-15582563.0,24377968.0,788116.0,-13020040.0,-400000047.0,-17291643.0,-24548819.0,-52921063.0,-10793877.0,-14908553.0,-179963037.0,-400000047.0,25644972.0,-19550754.0,21104624.0,1738882.0,-20951464.0
6,00:00:01.355,1572871281265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102922.0,-6850243.0,-400000047.0,-32858661.0,-8956862.0,2895117.0,-33067993.0,-14030267.0,-2883243.0,3034496.0,16229583.0,-26471904.0,24178698.0,-26762536.0,21997263.0,-15580942.0,24392941.0,795412.0,-13013316.0,-400000047.0,-17287208.0,-24544671.0,-52920157.0,-10783530.0,-14903070.0,-179961321.0,-400000047.0,25646880.0,-19550421.0,21109964.0,1747560.0,-20948603.0
7,00:00:01.356,1572871281266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105306.0,-6850767.0,-400000047.0,-32860807.0,-8959723.0,2902412.0,-33063463.0,-14025451.0,-2880430.0,3042745.0,16231014.0,-26471713.0,24181654.0,-26767066.0,21994259.0,-15579273.0,24408581.0,802040.0,-13004733.0,-400000047.0,-17281295.0,-24541047.0,-52925688.0,-10769893.0,-14895774.0,-179963610.0,-400000047.0,25645545.0,-19553472.0,21118977.0,1759624.0,-20951225.0
8,00:00:01.357,1572871281267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100061.0,-6856919.0,-400000047.0,-32867435.0,-8965731.0,2896261.0,-33069996.0,-14030982.0,-2899265.0,3034639.0,16227390.0,-26477149.0,24189904.0,-26776078.0,21988108.0,-15582324.0,24404242.0,797796.0,-13010121.0,-400000047.0,-17285444.0,-24549677.0,-52936035.0,-10778333.0,-14895250.0,-179971430.0,-400000047.0,25639107.0,-19560530.0,21117451.0,1754427.0,-20956518.0
9,00:00:01.358,1572871281268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101873.0,-6857491.0,-400000047.0,-32869438.0,-8966685.0,2899647.0,-33071474.0,-14030029.0,-2895737.0,3026152.0,16228725.0,-26478341.0,24197295.0,-26781609.0,21986439.0,-15581418.0,24398615.0,801992.0,-13005210.0,-400000047.0,-17285778.0,-24546721.0,-52942377.0,-10781718.0,-14887430.0,-179974815.0,-400000047.0,25637772.0,-19565679.0,21120836.0,1754093.0,-20958283.0
